Table 1
LSOAcode,LSOAname,houseprice
E01008382,Newcastle upon Tyne 021B,"99,950"
E01008383,Newcastle upon Tyne 021C,"100,000"
E01008384,Newcastle upon Tyne 021D,"110,000"
E01008385,Newcastle upon Tyne 021E,"72,000"
E01008386,Newcastle upon Tyne 021F,"147,000"
E01008387,Newcastle upon Tyne 021G,"138,500"
E01008388,Newcastle upon Tyne 028A,"71,000"
E01008389,Newcastle upon Tyne 028B,:
E01008390,Newcastle upon Tyne 030A,:
E01008391,Newcastle upon Tyne 026E,"74,000"
E01008392,Newcastle upon Tyne 026F,"97,025"
E01008394,Newcastle upon Tyne 024A,:
E01008395,Newcastle upon Tyne 024B,"232,500"
E01008396,Newcastle upon Tyne 022B,"88,000"
E01008397,Newcastle upon Tyne 024C,"130,000"
E01008398,Newcastle upon Tyne 022C,null
E01008399,Newcastle upon Tyne 024D,null
E01008400,Newcastle upon Tyne 014A,"278,950"
E01008401,Newcastle upon Tyne 014B,"96,750"
E01008402,Newcastle upon Tyne 014C,"127,000"
E01008403,Newcastle upon Tyne 014D,"165,000"
E01008404,Newcastle upon Tyne 014E,"118,000"
E01008405,Newcastle upon Tyne 014F,"95,000"
E01008406,Newcastle upon Tyne 023A,"132,500"
E01008407,Newcastle upon Tyne 023B,"158,500"
E01008409,Newcastle upon Tyne 017D,"175,000"
E01008410,Newcastle upon Tyne 023D,"186,000"
E01008411,Newcastle upon Tyne 017E,"128,000"
E01008412,Newcastle upon Tyne 023E,"200,000"
E01008413,Newcastle upon Tyne 023F,"126,500"
E01008415,Newcastle upon Tyne 025B,"87,500"
E01008416,Newcastle upon Tyne 025C,"121,750"
E01008418,Newcastle upon Tyne 005C,"323,250"
E01008419,Newcastle upon Tyne 006E,"301,625"
E01008420,Newcastle upon Tyne 005D,"447,500"
E01008421,Newcastle upon Tyne 006F,"290,000"
E01008422,Newcastle upon Tyne 005E,"333,500"
E01008423,Newcastle upon Tyne 006G,"660,000"
E01008424,Newcastle upon Tyne 005F,"165,000"
E01008425,Newcastle upon Tyne 030B,"116,250"
E01008426,Newcastle upon Tyne 028C,null
E01008427,Newcastle upon Tyne 030C,"75,000"
E01008428,Newcastle upon Tyne 030D,"82,800"
E01008429,Newcastle upon Tyne 028D,Null
E01008430,Newcastle upon Tyne 020A,"78,500"
E01008431,Newcastle upon Tyne 020B,"132,500"
E01008432,Newcastle upon Tyne 026G,"132,750"
E01008433,Newcastle upon Tyne 020C,"172,700"
E01008434,Newcastle upon Tyne 020D,"169,500"
E01008435,Newcastle upon Tyne 020E,"130,250"
E01008436,Newcastle upon Tyne 020F,"136,000"
E01008437,Newcastle upon Tyne 029F,null
E01008438,Newcastle upon Tyne 029G,"79,500"
E01008439,Newcastle upon Tyne 024E,"239,750"
E01008441,Newcastle upon Tyne 031A,"117,500"
E01008442,Newcastle upon Tyne 031B,"180,000"
E01008443,Newcastle upon Tyne 014G,"157,500"
E01008444,Newcastle upon Tyne 031C,"151,500"
E01008445,Newcastle upon Tyne 031D,"167,751"
E01008446,Newcastle upon Tyne 031E,"155,188"
E01008447,Newcastle upon Tyne 031F,"170,000"
E01008448,Newcastle upon Tyne 031G,"180,000"
E01008449,Newcastle upon Tyne 022D,"132,500"
E01008450,Newcastle upon Tyne 016B,"95,250"
E01008451,Newcastle upon Tyne 016C,"85,000"
E01008452,Newcastle upon Tyne 016D,"247,500"
E01008453,Newcastle upon Tyne 022E,"223,250"
E01008455,Newcastle upon Tyne 022G,"130,000"
E01008456,Newcastle upon Tyne 004B,"84,500"
E01008457,Newcastle upon Tyne 004C,"88,000"
E01008458,Newcastle upon Tyne 004D,"324,950"
